bodyId,type,type_lab,cluster,function,reference
12038,DNg38,DNg38,7,,
12039,DNge135,DNge135,7,,
12043,DNg102,DNg102,8,,
12044,DNb08,DNb08,11,,
12069,DNp15,DNp15,1,steering/walking,Erginkaya 2023 
12075,DNb08,DNb08,11,,
12085,DNge136,DNge136,8,,
12089,DNde006,DNde006,11,,
12092,DNge027,DNge027,9,,
12102,DNp38,DNp38,10,,
12133,DNbe005,DNbe005,11,,
12134,DNp58,DNp58,8,,
12136,DNg102,DNg102,8,,
12143,AN01A055,AN01A055,3,,
12151,DNge138,DNge138,7,octopamine,Babski 2024
12154,AN12B004,AN12B004,6,,
12169,DNg87,DNg87,4,,
12170,DNge044,DNge044,9,,
12175,DNge099,DNge099,11,,
12177,DNpe050,DNpe050,10,,
12179,DNpe031,DNpe031,10,,
12188,DNg84,DNg84,4,,
12189,DNb08,DNb08,11,,
12198,AN17B013,AN17B013,3,,
12210,DNg68,DNg68,8,,
12214,DNg109,DNg109,7,,
12218,DNpe031,DNpe031,10,,
12219,DNg48,DNg48,4,,
12222,DNpe031,DNpe031,10,,
12223,DNpe027,DNpe027,10,,
12224,DNg14,DNg14,11,abdominal movement,Braun 2024?
12238,DNg32,DNg32,10,,
12239,DNbe002,DNbe002,10,,
12249,DNg104,DNg104,10,octopamine,Babski 2024
12256,DNge056,DNge056,9,,
12266,DNg43,DNg43,10,,
12286,AN05B102a,AN05B102a,5,pheromone,Kallman 2015
12299,DNg68,DNg68,8,,
12306,DNp22,DNp22,1,ocellar,
12307,DNg59,DNg59,4,,
12325,DNp67,DNp67,10,,
12335,AN06B007,AN06B007,11,,
12348,MDN,MDN,10,backwards walking,Bidaye 2014
12362,DNpe055,DNpe055,10,,
12364,DNge080,DNge080,9,,
12374,DNge140,DNge140,10,,
12378,DNge007,DNge007,11,,
12386,DNg84,DNg84,4,,
12389,DNp60,DNp60,10,,
12393,DNge001,DNge001,9,,
12394,DNge148,DNge148,0,,
12398,AN27X013,AN27X013,11,,
12405,DNge150,DNge150,8,octopamine,Babski 2024
12407,DNge136,DNge136,8,,
12421,DNpe055,DNpe055,10,,
12422,DNge100,DNge100,9,,
12435,DNp67,DNp67,10,,
12443,DNbe002,DNbe002,10,,
12447,DNge124,DNge124,7,,
12451,DNge128,DNge128,7,,
12453,DNg50,DNg50,8,,
12457,AN01B002,AN01B002,12,,
12465,DNg48,DNg48,4,,
12469,AN08B018,AN08B018,2,,
12470,DNge056,DNge056,9,,
12480,DNg26,DNg26,7,terminate mating,Gautham 2024
12484,DNge067,DNge067,4,,
12485,DNge125,DNge125,0,,
12490,DNd04,DNd04,8,,
12492,DNg78,DNg78,0,,
12493,DNge060,DNge060,11,,
12512,DNge010,DNge010,11,,
12516,DNge047,DNge047,11,,
12520,DNge028,DNge028,9,,
12536,AN08B018,AN08B018,2,,
12539,AN12B004,AN12B004,6,,
12548,AN05B097,AN05B097,7,,
12550,DNb08,DNb08,11,,
12559,AN06B014,AN06B014,0,,
12581,DNge069,DNge069,9,,
12583,DNg87,DNg87,4,,
12587,DNge004,DNge004,0,,
12590,DNg22,DNg22,8,"neuromodulatory, reproduction?",Song 2023 (im)
12597,AN27X021,AN27X021,5,,
12601,DNge122,DNge122,12,,
12610,DNg102,DNg102,8,,
12619,DNge007,DNge007,11,,
12620,DNp44,DNp44,10,,
12621,DNg56,DNg56,7,,
12622,DNge022,DNge022,9,,
12628,DNpe042,DNpe042,10,,
12635,DNg19,DNg19,11,,
12647,DNge125,DNge125,0,,
12665,DNg26,DNg26,7,terminate mating,Gautham 2024
12670,DNg71,DNg71,1,,
12673,AN06B011,AN06B011,6,walking,Fujiwara 2022
12675,DNg103,DNg103,5,,
